CaseID,Activity,Timestamp,Resource
14,Υποβολή Παραγγελίας,2024-01-01 11:32:00,Πελάτης
14,Έλεγχος Πληρωμής,2024-01-01 11:43:00,Σύστημα
14,Συλλογή Προϊόντων,2024-01-01 21:43:00,Αποθηκάριος
14,Συσκευασία,2024-01-01 22:09:00,Αποθηκάριος
14,Αποστολή,2024-01-02 01:09:00,Courier
15,Υποβολή Παραγγελίας,2024-01-01 11:31:00,Πελάτης
15,Έλεγχος Πληρωμής,2024-01-01 11:34:00,Σύστημα
15,Συλλογή Προϊόντων,2024-01-01 16:34:00,Αποθηκάριος
15,Συσκευασία,2024-01-01 17:03:00,Αποθηκάριος
15,Αποστολή,2024-01-01 19:03:00,Courier
16,Υποβολή Παραγγελίας,2024-01-01 11:22:00,Πελάτης
16,Έλεγχος Πληρωμής,2024-01-01 11:27:00,Σύστημα
16,Συλλογή Προϊόντων,2024-01-02 06:27:00,Αποθηκάριος
16,Συσκευασία,2024-01-02 06:50:00,Αποθηκάριος
16,Διόρθωση Συσκευασίας,2024-01-02 07:20:00,Επόπτης
16,Συσκευασία,2024-01-02 07:28:00,Αποθηκάριος
16,Αποστολή,2024-01-02 08:28:00,Courier
17,Υποβολή Παραγγελίας,2024-01-01 12:00:00,Πελάτης
17,Έλεγχος Πληρωμής,2024-01-01 12:15:00,Σύστημα
17,Ακύρωση Παραγγελίας,2024-01-01 12:53:00,Σύστημα
18,Υποβολή Παραγγελίας,2024-01-01 12:20:00,Πελάτης
18,Έλεγχος Πληρωμής,2024-01-01 12:21:00,Σύστημα
18,Συλλογή Προϊόντων,2024-01-02 08:21:00,Αποθηκάριος
18,Συσκευασία,2024-01-02 08:50:00,Αποθηκάριος
18,Αποστολή,2024-01-02 12:50:00,Courier
19,Υποβολή Παραγγελίας,2024-01-01 12:40:00,Πελάτης
19,Έλεγχος Πληρωμής,2024-01-01 12:53:00,Σύστημα
19,Συλλογή Προϊόντων,2024-01-01 22:53:00,Αποθηκάριος
19,Συσκευασία,2024-01-01 23:08:00,Αποθηκάριος
19,Διόρθωση Συσκευασίας,2024-01-01 23:24:00,Επόπτης
19,Συσκευασία,2024-01-01 23:31:00,Αποθηκάριος
19,Αποστολή,2024-01-02 04:31:00,Courier
20,Υποβολή Παραγγελίας,2024-01-01 13:14:00,Πελάτης
20,Έλεγχος Πληρωμής,2024-01-01 13:27:00,Σύστημα
20,Συλλογή Προϊόντων,2024-01-02 13:27:00,Αποθηκάριος
20,Συσκευασία,2024-01-02 13:45:00,Αποθηκάριος
20,Αποστολή,2024-01-02 16:45:00,Courier
21,Υποβολή Παραγγελίας,2024-01-01 12:51:00,Πελάτης
21,Έλεγχος Πληρωμής,2024-01-01 12:54:00,Σύστημα
21,Συλλογή Προϊόντων,2024-01-01 21:54:00,Αποθηκάριος
21,Συσκευασία,2024-01-01 22:07:00,Αποθηκάριος
21,Αποστολή,2024-01-02 01:07:00,Courier
22,Υποβολή Παραγγελίας,2024-01-01 13:33:00,Πελάτης
22,Έλεγχος Πληρωμής,2024-01-01 13:47:00,Σύστημα
22,Συλλογή Προϊόντων,2024-01-01 17:47:00,Αποθηκάριος
22,Συσκευασία,2024-01-01 18:02:00,Αποθηκάριος
22,Αποστολή,2024-01-01 20:02:00,Courier
23,Υποβολή Παραγγελίας,2024-01-01 13:05:00,Πελάτης
23,Έλεγχος Πληρωμής,2024-01-01 13:06:00,Σύστημα
23,Συλλογή Προϊόντων,2024-01-01 16:06:00,Αποθηκάριος
23,Συσκευασία,2024-01-01 16:32:00,Αποθηκάριος
23,Αποστολή,2024-01-01 19:32:00,Courier
24,Υποβολή Παραγγελίας,2024-01-01 13:53:00,Πελάτης
24,Έλεγχος Πληρωμής,2024-01-01 14:07:00,Σύστημα
24,Συλλογή Προϊόντων,2024-01-02 13:07:00,Αποθηκάριος
24,Συσκευασία,2024-01-02 13:18:00,Αποθηκάριος
24,Αποστολή,2024-01-02 18:18:00,Courier
25,Υποβολή Παραγγελίας,2024-01-01 13:34:00,Πελάτης
25,Έλεγχος Πληρωμής,2024-01-01 13:41:00,Σύστημα
25,Συλλογή Προϊόντων,2024-01-02 01:41:00,Αποθηκάριος
25,Συσκευασία,2024-01-02 02:05:00,Αποθηκάριος
25,Αποστολή,2024-01-02 05:05:00,Courier
26,Υποβολή Παραγγελίας,2024-01-01 13:50:00,Πελάτης
26,Έλεγχος Πληρωμής,2024-01-01 13:57:00,Σύστημα
26,Συλλογή Προϊόντων,2024-01-01 19:57:00,Αποθηκάριος
26,Συσκευασία,2024-01-01 20:24:00,Αποθηκάριος
26,Διόρθωση Συσκευασίας,2024-01-01 20:50:00,Επόπτης
26,Συσκευασία,2024-01-01 20:55:00,Αποθηκάριος
26,Αποστολή,2024-01-01 21:55:00,Courier
27,Υποβολή Παραγγελίας,2024-01-01 14:38:00,Πελάτης
27,Έλεγχος Πληρωμής,2024-01-01 14:44:00,Σύστημα
27,Συλλογή Προϊόντων,2024-01-02 01:44:00,Αποθηκάριος
27,Συσκευασία,2024-01-02 02:13:00,Αποθηκάριος
27,Αποστολή,2024-01-02 04:13:00,Courier
28,Υποβολή Παραγγελίας,2024-01-01 14:07:00,Πελάτης
28,Έλεγχος Πληρωμής,2024-01-01 14:18:00,Σύστημα
28,Συλλογή Προϊόντων,2024-01-02 02:18:00,Αποθηκάριος
28,Συσκευασία,2024-01-02 02:39:00,Αποθηκάριος
28,Αποστολή,2024-01-02 05:39:00,Courier
29,Υποβολή Παραγγελίας,2024-01-01 14:35:00,Πελάτης
29,Έλεγχος Πληρωμής,2024-01-01 14:43:00,Σύστημα
29,Συλλογή Προϊόντων,2024-01-01 21:43:00,Αποθηκάριος
29,Συσκευασία,2024-01-01 21:56:00,Αποθηκάριος
29,Αποστολή,2024-01-01 22:56:00,Courier
30,Υποβολή Παραγγελίας,2024-01-01 15:26:00,Πελάτης
30,Έλεγχος Πληρωμής,2024-01-01 15:36:00,Σύστημα
30,Συλλογή Προϊόντων,2024-01-01 20:36:00,Αποθηκάριος
30,Συσκευασία,2024-01-01 21:06:00,Αποθηκάριος
30,Αποστολή,2024-01-02 02:06:00,Courier
31,Υποβολή Παραγγελίας,2024-01-01 14:55:00,Πελάτης
31,Έλεγχος Πληρωμής,2024-01-01 15:02:00,Σύστημα
31,Συλλογή Προϊόντων,2024-01-02 15:02:00,Αποθηκάριος
31,Συσκευασία,2024-01-02 15:25:00,Αποθηκάριος
31,Αποστολή,2024-01-02 16:25:00,Courier
32,Υποβολή Παραγγελίας,2024-01-01 15:22:00,Πελάτης
32,Έλεγχος Πληρωμής,2024-01-01 15:26:00,Σύστημα
32,Συλλογή Προϊόντων,2024-01-01 18:26:00,Αποθηκάριος
32,Συσκευασία,2024-01-01 18:38:00,Αποθηκάριος
32,Αποστολή,2024-01-01 19:38:00,Courier
33,Υποβολή Παραγγελίας,2024-01-01 15:44:00,Πελάτης
33,Έλεγχος Πληρωμής,2024-01-01 15:56:00,Σύστημα
33,Ακύρωση Παραγγελίας,2024-01-01 16:11:00,Σύστημα
34,Υποβολή Παραγγελίας,2024-01-01 15:47:00,Πελάτης
34,Έλεγχος Πληρωμής,2024-01-01 16:00:00,Σύστημα
34,Συλλογή Προϊόντων,2024-01-02 00:00:00,Αποθηκάριος
34,Συσκευασία,2024-01-02 00:13:00,Αποθηκάριος
34,Αποστολή,2024-01-02 04:13:00,Courier
35,Υποβολή Παραγγελίας,2024-01-01 15:41:00,Πελάτης
35,Έλεγχος Πληρωμής,2024-01-01 15:48:00,Σύστημα
35,Συλλογή Προϊόντων,2024-01-02 15:48:00,Αποθηκάριος
35,Συσκευασία,2024-01-02 16:18:00,Αποθηκάριος
35,Αποστολή,2024-01-02 18:18:00,Courier
36,Υποβολή Παραγγελίας,2024-01-01 15:34:00,Πελάτης
36,Έλεγχος Πληρωμής,2024-01-01 15:36:00,Σύστημα
36,Συλλογή Προϊόντων,2024-01-02 12:36:00,Αποθηκάριος
36,Συσκευασία,2024-01-02 12:54:00,Αποθηκάριος
36,Αποστολή,2024-01-02 17:54:00,Courier
37,Υποβολή Παραγγελίας,2024-01-01 16:26:00,Πελάτης
37,Έλεγχος Πληρωμής,2024-01-01 16:29:00,Σύστημα
37,Συλλογή Προϊόντων,2024-01-02 12:29:00,Αποθηκάριος
37,Συσκευασία,2024-01-02 12:55:00,Αποθηκάριος
37,Αποστολή,2024-01-02 13:55:00,Courier
38,Υποβολή Παραγγελίας,2024-01-01 15:47:00,Πελάτης
38,Έλεγχος Πληρωμής,2024-01-01 16:01:00,Σύστημα
38,Συλλογή Προϊόντων,2024-01-01 19:01:00,Αποθηκάριος
38,Συσκευασία,2024-01-01 19:28:00,Αποθηκάριος
38,Αποστολή,2024-01-01 21:28:00,Courier
39,Υποβολή Παραγγελίας,2024-01-01 16:00:00,Πελάτης
39,Έλεγχος Πληρωμής,2024-01-01 16:15:00,Σύστημα
39,Συλλογή Προϊόντων,2024-01-02 15:15:00,Αποθηκάριος
39,Συσκευασία,2024-01-02 15:40:00,Αποθηκάριος
39,Αποστολή,2024-01-02 16:40:00,Courier
40,Υποβολή Παραγγελίας,2024-01-01 17:02:00,Πελάτης
40,Έλεγχος Πληρωμής,2024-01-01 17:12:00,Σύστημα
40,Συλλογή Προϊόντων,2024-01-01 22:12:00,Αποθηκάριος
40,Συσκευασία,2024-01-01 22:28:00,Αποθηκάριος
40,Αποστολή,2024-01-01 23:28:00,Courier
41,Υποβολή Παραγγελίας,2024-01-01 17:11:00,Πελάτης
41,Έλεγχος Πληρωμής,2024-01-01 17:21:00,Σύστημα
41,Συλλογή Προϊόντων,2024-01-01 23:21:00,Αποθηκάριος
41,Συσκευασία,2024-01-01 23:49:00,Αποθηκάριος
41,Διόρθωση Συσκευασίας,2024-01-02 00:32:00,Επόπτης
41,Συσκευασία,2024-01-02 00:38:00,Αποθηκάριος
41,Αποστολή,2024-01-02 03:38:00,Courier
42,Υποβολή Παραγγελίας,2024-01-01 17:06:00,Πελάτης
42,Έλεγχος Πληρωμής,2024-01-01 17:08:00,Σύστημα
42,Συλλογή Προϊόντων,2024-01-01 22:08:00,Αποθηκάριος
42,Συσκευασία,2024-01-01 22:33:00,Αποθηκάριος
42,Αποστολή,2024-01-02 01:33:00,Courier
43,Υποβολή Παραγγελίας,2024-01-01 17:09:00,Πελάτης
43,Έλεγχος Πληρωμής,2024-01-01 17:24:00,Σύστημα
43,Συλλογή Προϊόντων,2024-01-02 14:24:00,Αποθηκάριος
43,Συσκευασία,2024-01-02 14:49:00,Αποθηκάριος
43,Αποστολή,2024-01-02 19:49:00,Courier
44,Υποβολή Παραγγελίας,2024-01-01 17:16:00,Πελάτης
44,Έλεγχος Πληρωμής,2024-01-01 17:21:00,Σύστημα
44,Συλλογή Προϊόντων,2024-01-02 10:21:00,Αποθηκάριος
44,Συσκευασία,2024-01-02 10:39:00,Αποθηκάριος
44,Αποστολή,2024-01-02 12:39:00,Courier
45,Υποβολή Παραγγελίας,2024-01-01 17:47:00,Πελάτης
45,Έλεγχος Πληρωμής,2024-01-01 18:00:00,Σύστημα
45,Συλλογή Προϊόντων,2024-01-02 10:00:00,Αποθηκάριος
45,Συσκευασία,2024-01-02 10:16:00,Αποθηκάριος
45,Αποστολή,2024-01-02 11:16:00,Courier
46,Υποβολή Παραγγελίας,2024-01-01 17:55:00,Πελάτης
46,Έλεγχος Πληρωμής,2024-01-01 18:03:00,Σύστημα
46,Συλλογή Προϊόντων,2024-01-02 15:03:00,Αποθηκάριος
46,Συσκευασία,2024-01-02 15:24:00,Αποθηκάριος
46,Αποστολή,2024-01-02 18:24:00,Courier
47,Υποβολή Παραγγελίας,2024-01-01 18:12:00,Πελάτης
47,Έλεγχος Πληρωμής,2024-01-01 18:15:00,Σύστημα
47,Ακύρωση Παραγγελίας,2024-01-01 19:08:00,Σύστημα
48,Υποβολή Παραγγελίας,2024-01-01 18:35:00,Πελάτης
48,Έλεγχος Πληρωμής,2024-01-01 18:38:00,Σύστημα
48,Ακύρωση Παραγγελίας,2024-01-01 18:49:00,Σύστημα
49,Υποβολή Παραγγελίας,2024-01-01 18:50:00,Πελάτης
49,Έλεγχος Πληρωμής,2024-01-01 19:04:00,Σύστημα
49,Συλλογή Προϊόντων,2024-01-02 18:04:00,Αποθηκάριος
49,Συσκευασία,2024-01-02 18:29:00,Αποθηκάριος
49,Αποστολή,2024-01-02 20:29:00,Courier
50,Υποβολή Παραγγελίας,2024-01-01 19:13:00,Πελάτης
50,Έλεγχος Πληρωμής,2024-01-01 19:18:00,Σύστημα
50,Συλλογή Προϊόντων,2024-01-02 06:18:00,Αποθηκάριος
50,Συσκευασία,2024-01-02 06:37:00,Αποθηκάριος
50,Αποστολή,2024-01-02 09:37:00,Courier
51,Υποβολή Παραγγελίας,2024-01-01 18:39:00,Πελάτης
51,Έλεγχος Πληρωμής,2024-01-01 18:53:00,Σύστημα
51,Συλλογή Προϊόντων,2024-01-02 06:53:00,Αποθηκάριος
51,Συσκευασία,2024-01-02 07:23:00,Αποθηκάριος
51,Αποστολή,2024-01-02 12:23:00,Courier
52,Υποβολή Παραγγελίας,2024-01-01 19:15:00,Πελάτης
52,Έλεγχος Πληρωμής,2024-01-01 19:19:00,Σύστημα
52,Συλλογή Προϊόντων,2024-01-02 08:19:00,Αποθηκάριος
52,Συσκευασία,2024-01-02 08:45:00,Αποθηκάριος
52,Αποστολή,2024-01-02 10:45:00,Courier
53,Υποβολή Παραγγελίας,2024-01-01 19:54:00,Πελάτης
53,Έλεγχος Πληρωμής,2024-01-01 19:56:00,Σύστημα
53,Συλλογή Προϊόντων,2024-01-02 12:56:00,Αποθηκάριος
53,Συσκευασία,2024-01-02 13:09:00,Αποθηκάριος
53,Διόρθωση Συσκευασίας,2024-01-02 13:37:00,Επόπτης
53,Συσκευασία,2024-01-02 13:46:00,Αποθηκάριος
53,Αποστολή,2024-01-02 17:46:00,Courier
54,Υποβολή Παραγγελίας,2024-01-01 19:40:00,Πελάτης
54,Έλεγχος Πληρωμής,2024-01-01 19:51:00,Σύστημα
54,Συλλογή Προϊόντων,2024-01-01 22:51:00,Αποθηκάριος
54,Συσκευασία,2024-01-01 23:06:00,Αποθηκάριος
54,Διόρθωση Συσκευασίας,2024-01-01 23:58:00,Επόπτης
54,Συσκευασία,2024-01-02 00:12:00,Αποθηκάριος
54,Αποστολή,2024-01-02 03:12:00,Courier
55,Υποβολή Παραγγελίας,2024-01-01 19:46:00,Πελάτης
55,Έλεγχος Πληρωμής,2024-01-01 19:49:00,Σύστημα
55,Συλλογή Προϊόντων,2024-01-02 11:49:00,Αποθηκάριος
55,Συσκευασία,2024-01-02 12:00:00,Αποθηκάριος
55,Αποστολή,2024-01-02 14:00:00,Courier
56,Υποβολή Παραγγελίας,2024-01-01 20:01:00,Πελάτης
56,Έλεγχος Πληρωμής,2024-01-01 20:10:00,Σύστημα
56,Συλλογή Προϊόντων,2024-01-02 05:10:00,Αποθηκάριος
56,Συσκευασία,2024-01-02 05:32:00,Αποθηκάριος
56,Αποστολή,2024-01-02 10:32:00,Courier
57,Υποβολή Παραγγελίας,2024-01-01 20:17:00,Πελάτης
57,Έλεγχος Πληρωμής,2024-01-01 20:22:00,Σύστημα
57,Συλλογή Προϊόντων,2024-01-01 22:22:00,Αποθηκάριος
57,Συσκευασία,2024-01-01 22:37:00,Αποθηκάριος
57,Αποστολή,2024-01-02 00:37:00,Courier
58,Υποβολή Παραγγελίας,2024-01-01 20:40:00,Πελάτης
58,Έλεγχος Πληρωμής,2024-01-01 20:54:00,Σύστημα
58,Συλλογή Προϊόντων,2024-01-02 13:54:00,Αποθηκάριος
58,Συσκευασία,2024-01-02 14:05:00,Αποθηκάριος
58,Αποστολή,2024-01-02 15:05:00,Courier
59,Υποβολή Παραγγελίας,2024-01-01 20:44:00,Πελάτης
59,Έλεγχος Πληρωμής,2024-01-01 20:52:00,Σύστημα
59,Συλλογή Προϊόντων,2024-01-02 15:52:00,Αποθηκάριος
59,Συσκευασία,2024-01-02 16:14:00,Αποθηκάριος
59,Διόρθωση Συσκευασίας,2024-01-02 16:46:00,Επόπτης
59,Συσκευασία,2024-01-02 16:59:00,Αποθηκάριος
59,Αποστολή,2024-01-02 20:59:00,Courier
60,Υποβολή Παραγγελίας,2024-01-01 21:05:00,Πελάτης
60,Έλεγχος Πληρωμής,2024-01-01 21:11:00,Σύστημα
60,Συλλογή Προϊόντων,2024-01-02 16:11:00,Αποθηκάριος
60,Συσκευασία,2024-01-02 16:22:00,Αποθηκάριος
60,Αποστολή,2024-01-02 19:22:00,Courier
61,Υποβολή Παραγγελίας,2024-01-01 20:38:00,Πελάτης
61,Έλεγχος Πληρωμής,2024-01-01 20:49:00,Σύστημα
61,Συλλογή Προϊόντων,2024-01-01 22:49:00,Αποθηκάριος
61,Συσκευασία,2024-01-01 23:13:00,Αποθηκάριος
61,Αποστολή,2024-01-02 02:13:00,Courier
62,Υποβολή Παραγγελίας,2024-01-01 21:16:00,Πελάτης
62,Έλεγχος Πληρωμής,2024-01-01 21:29:00,Σύστημα
62,Συλλογή Προϊόντων,2024-01-02 12:29:00,Αποθηκάριος
62,Συσκευασία,2024-01-02 12:43:00,Αποθηκάριος
62,Αποστολή,2024-01-02 13:43:00,Courier
63,Υποβολή Παραγγελίας,2024-01-01 21:05:00,Πελάτης
63,Έλεγχος Πληρωμής,2024-01-01 21:06:00,Σύστημα
63,Συλλογή Προϊόντων,2024-01-02 17:06:00,Αποθηκάριος
63,Συσκευασία,2024-01-02 17:26:00,Αποθηκάριος
63,Αποστολή,2024-01-02 21:26:00,Courier
64,Υποβολή Παραγγελίας,2024-01-01 22:10:00,Πελάτης
64,Έλεγχος Πληρωμής,2024-01-01 22:20:00,Σύστημα
64,Συλλογή Προϊόντων,2024-01-02 00:20:00,Αποθηκάριος
64,Συσκευασία,2024-01-02 00:43:00,Αποθηκάριος
64,Αποστολή,2024-01-02 03:43:00,Courier
65,Υποβολή Παραγγελίας,2024-01-01 21:49:00,Πελάτης
65,Έλεγχος Πληρωμής,2024-01-01 22:01:00,Σύστημα
65,Συλλογή Προϊόντων,2024-01-02 20:01:00,Αποθηκάριος
65,Συσκευασία,2024-01-02 20:13:00,Αποθηκάριος
65,Αποστολή,2024-01-03 01:13:00,Courier
66,Υποβολή Παραγγελίας,2024-01-01 21:59:00,Πελάτης
66,Έλεγχος Πληρωμής,2024-01-01 22:04:00,Σύστημα
66,Συλλογή Προϊόντων,2024-01-02 10:04:00,Αποθηκάριος
66,Συσκευασία,2024-01-02 10:16:00,Αποθηκάριος
66,Αποστολή,2024-01-02 14:16:00,Courier
67,Υποβολή Παραγγελίας,2024-01-01 22:25:00,Πελάτης
67,Έλεγχος Πληρωμής,2024-01-01 22:27:00,Σύστημα
67,Συλλογή Προϊόντων,2024-01-02 10:27:00,Αποθηκάριος
67,Συσκευασία,2024-01-02 10:43:00,Αποθηκάριος
67,Αποστολή,2024-01-02 15:43:00,Courier
68,Υποβολή Παραγγελίας,2024-01-01 22:18:00,Πελάτης
68,Έλεγχος Πληρωμής,2024-01-01 22:26:00,Σύστημα
68,Συλλογή Προϊόντων,2024-01-02 13:26:00,Αποθηκάριος
68,Συσκευασία,2024-01-02 13:49:00,Αποθηκάριος
68,Αποστολή,2024-01-02 18:49:00,Courier
69,Υποβολή Παραγγελίας,2024-01-01 22:55:00,Πελάτης
69,Έλεγχος Πληρωμής,2024-01-01 22:58:00,Σύστημα
69,Συλλογή Προϊόντων,2024-01-02 20:58:00,Αποθηκάριος
69,Συσκευασία,2024-01-02 21:25:00,Αποθηκάριος
69,Αποστολή,2024-01-03 01:25:00,Courier
70,Υποβολή Παραγγελίας,2024-01-01 23:39:00,Πελάτης
70,Έλεγχος Πληρωμής,2024-01-01 23:40:00,Σύστημα
70,Συλλογή Προϊόντων,2024-01-02 11:40:00,Αποθηκάριος
70,Συσκευασία,2024-01-02 12:10:00,Αποθηκάριος
70,Αποστολή,2024-01-02 14:10:00,Courier
71,Υποβολή Παραγγελίας,2024-01-01 23:15:00,Πελάτης
71,Έλεγχος Πληρωμής,2024-01-01 23:26:00,Σύστημα
71,Συλλογή Προϊόντων,2024-01-02 19:26:00,Αποθηκάριος
71,Συσκευασία,2024-01-02 19:55:00,Αποθηκάριος
71,Αποστολή,2024-01-02 21:55:00,Courier
72,Υποβολή Παραγγελίας,2024-01-02 00:07:00,Πελάτης
72,Έλεγχος Πληρωμής,2024-01-02 00:09:00,Σύστημα
72,Συλλογή Προϊόντων,2024-01-02 18:09:00,Αποθηκάριος
72,Συσκευασία,2024-01-02 18:39:00,Αποθηκάριος
72,Διόρθωση Συσκευασίας,2024-01-02 19:06:00,Επόπτης
72,Συσκευασία,2024-01-02 19:21:00,Αποθηκάριος
72,Αποστολή,2024-01-02 22:21:00,Courier
73,Υποβολή Παραγγελίας,2024-01-01 23:46:00,Πελάτης
73,Έλεγχος Πληρωμής,2024-01-01 23:58:00,Σύστημα
73,Συλλογή Προϊόντων,2024-01-02 23:58:00,Αποθηκάριος
73,Συσκευασία,2024-01-03 00:24:00,Αποθηκάριος
73,Αποστολή,2024-01-03 03:24:00,Courier
74,Υποβολή Παραγγελίας,2024-01-01 23:36:00,Πελάτης
74,Έλεγχος Πληρωμής,2024-01-01 23:45:00,Σύστημα
74,Συλλογή Προϊόντων,2024-01-02 06:45:00,Αποθηκάριος
74,Συσκευασία,2024-01-02 06:59:00,Αποθηκάριος
74,Αποστολή,2024-01-02 11:59:00,Courier
75,Υποβολή Παραγγελίας,2024-01-01 23:55:00,Πελάτης
75,Έλεγχος Πληρωμής,2024-01-02 00:02:00,Σύστημα
75,Συλλογή Προϊόντων,2024-01-02 10:02:00,Αποθηκάριος
75,Συσκευασία,2024-01-02 10:24:00,Αποθηκάριος
75,Αποστολή,2024-01-02 14:24:00,Courier
76,Υποβολή Παραγγελίας,2024-01-02 00:13:00,Πελάτης
76,Έλεγχος Πληρωμής,2024-01-02 00:17:00,Σύστημα
76,Συλλογή Προϊόντων,2024-01-02 13:17:00,Αποθηκάριος
76,Συσκευασία,2024-01-02 13:41:00,Αποθηκάριος
76,Διόρθωση Συσκευασίας,2024-01-02 13:56:00,Επόπτης
76,Συσκευασία,2024-01-02 14:09:00,Αποθηκάριος
76,Αποστολή,2024-01-02 17:09:00,Courier
77,Υποβολή Παραγγελίας,2024-01-02 00:03:00,Πελάτης
77,Έλεγχος Πληρωμής,2024-01-02 00:07:00,Σύστημα
77,Συλλογή Προϊόντων,2024-01-02 05:07:00,Αποθηκάριος
77,Συσκευασία,2024-01-02 05:21:00,Αποθηκάριος
77,Αποστολή,2024-01-02 09:21:00,Courier
78,Υποβολή Παραγγελίας,2024-01-02 00:42:00,Πελάτης
78,Έλεγχος Πληρωμής,2024-01-02 00:46:00,Σύστημα
78,Συλλογή Προϊόντων,2024-01-02 17:46:00,Αποθηκάριος
78,Συσκευασία,2024-01-02 18:08:00,Αποθηκάριος
78,Αποστολή,2024-01-02 22:08:00,Courier
79,Υποβολή Παραγγελίας,2024-01-02 00:56:00,Πελάτης
79,Έλεγχος Πληρωμής,2024-01-02 00:57:00,Σύστημα
79,Συλλογή Προϊόντων,2024-01-02 17:57:00,Αποθηκάριος
79,Συσκευασία,2024-01-02 18:12:00,Αποθηκάριος
79,Διόρθωση Συσκευασίας,2024-01-02 18:43:00,Επόπτης
79,Συσκευασία,2024-01-02 18:58:00,Αποθηκάριος
79,Αποστολή,2024-01-02 22:58:00,Courier
